iter	Passed	Remaining
0	1	115
1	2	104
2	3	98
3	3	90
4	4	89
5	6	94
6	7	97
7	8	97
8	9	96
9	10	95
10	11	94
11	12	93
12	13	92
13	14	91
14	15	89
15	16	88
16	18	88
17	19	87
18	20	87
19	21	86
20	22	84
21	23	83
22	24	83
23	25	82
24	27	81
25	28	79
26	29	78
27	30	77
28	31	76
29	32	75
30	33	75
31	34	73
32	35	72
33	37	72
34	38	71
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	58	49
54	59	48
55	61	48
56	62	47
57	63	46
58	64	45
59	66	44
60	67	43
61	68	42
62	70	41
63	71	40
64	72	39
65	73	37
66	74	36
67	75	35
68	76	34
69	78	33
70	79	32
71	80	31
72	81	30
73	83	29
74	84	28
75	85	26
76	86	25
77	87	24
78	88	23
79	89	22
80	91	21
81	92	20
82	94	19
83	96	18
84	98	17
85	99	16
86	101	15
87	102	13
88	104	12
89	105	11
90	107	10
91	108	9
92	110	8
93	112	7
94	113	5
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
